;V1;V2;;;;
1;-94,46909573;94,46909573;;;;
2;-94,47555301;94,47555301;;;Risk;Profit
3;-92,94960484;92,94960484;;Mean;-151,1958182;151,1958182
4;-97,74717748;97,74717748;;Varians;6219,882315;6219,882315
5;-118,3145048;118,3145048;;;;
6;-136,3646033;136,3646033;;;;
7;-118,3679143;118,3679143;;;;
8;-123,7135324;123,7135324;;;;
9;-112,9261962;112,9261962;;;;
10;-106,6321562;106,6321562;;;;
11;-103,650516;103,650516;;;;
12;-101,4073217;101,4073217;;;;
13;-96,91694482;96,91694482;;;;
14;-123,1374284;123,1374284;;;;
15;-110,2075617;110,2075617;;;;
16;-109,5562951;109,5562951;;;;
17;-108,9279966;108,9279966;;;;
18;-108,2802443;108,2802443;;;;
19;-107,6485923;107,6485923;;;;
20;-106,9607122;106,9607122;;;;
21;-96,04557978;96,04557978;;;;
22;-97,28823076;97,28823076;;;;
23;-98,0687477;98,0687477;;;;
24;-97,47334386;97,47334386;;;;
25;-120,374516;120,374516;;;;
26;-112,8496962;112,8496962;;;;
27;-108,4398661;108,4398661;;;;
28;-107,7845089;107,7845089;;;;
29;-107,1411764;107,1411764;;;;
30;-104,6107973;104,6107973;;;;
31;-107,1462931;107,1462931;;;;
32;-99,85324254;99,85324254;;;;
33;-100,3717823;100,3717823;;;;
34;-95,83508901;95,83508901;;;;
35;-94,39350348;94,39350348;;;;
36;-99,36226249;99,36226249;;;;
37;-91,81651853;91,81651853;;;;
38;-98,86018676;98,86018676;;;;
39;-98,5111861;98,5111861;;;;
40;-88,7983348;88,7983348;;;;
41;-91,77461461;91,77461461;;;;
42;-91,25493185;91,25493185;;;;
43;-88,71985527;88,71985527;;;;
44;-90,32671865;90,32671865;;;;
45;-95,09483621;95,09483621;;;;
46;-90,29486403;90,29486403;;;;
47;-85,37067449;85,37067449;;;;
48;-79,44059943;79,44059943;;;;
49;-77,1440605;77,1440605;;;;
50;-85,05389448;85,05389448;;;;
51;-72,66496508;72,66496508;;;;
52;-68,7081959;68,7081959;;;;
53;-74,57849813;74,57849813;;;;
54;-66,20511675;66,20511675;;;;
55;-64,20636519;64,20636519;;;;
56;-69,59554053;69,59554053;;;;
57;-60,08155025;60,08155025;;;;
58;-72,7362568;72,7362568;;;;
59;-67,03389694;67,03389694;;;;
60;-57,62864265;57,62864265;;;;
61;-68,85828862;68,85828862;;;;
62;-53,78549115;53,78549115;;;;
63;-59,76224433;59,76224433;;;;
64;-68,27299166;68,27299166;;;;
65;-96,94484989;96,94484989;;;;
66;-68,85123624;68,85123624;;;;
67;-60,88178573;60,88178573;;;;
68;-69,70756529;69,70756529;;;;
69;-65,56247629;65,56247629;;;;
70;-84,73898726;84,73898726;;;;
71;-74,58362039;74,58362039;;;;
72;-73,86798735;73,86798735;;;;
73;-73,31838092;73,31838092;;;;
74;-64,38076597;64,38076597;;;;
75;-84,15814846;84,15814846;;;;
76;-71,05256477;71,05256477;;;;
77;-71,20403852;71,20403852;;;;
78;-77,33377612;77,33377612;;;;
79;-62,4304391;62,4304391;;;;
80;-87,02083085;87,02083085;;;;
81;-90,01536838;90,01536838;;;;
82;-102,5788809;102,5788809;;;;
83;-145,3171952;145,3171952;;;;
84;-180,3619467;180,3619467;;;;
85;-174,7656396;174,7656396;;;;
86;-184,1698451;184,1698451;;;;
87;-147,7027788;147,7027788;;;;
88;-146,0382322;146,0382322;;;;
89;-155,6752772;155,6752772;;;;
90;-115,0931648;115,0931648;;;;
91;-129,4365894;129,4365894;;;;
92;-100,162668;100,162668;;;;
93;-106,8119366;106,8119366;;;;
94;-111,3486783;111,3486783;;;;
95;-102,4505052;102,4505052;;;;
96;-102,8907466;102,8907466;;;;
97;-104,49471;104,49471;;;;
98;-94,83771949;94,83771949;;;;
99;-88,74815874;88,74815874;;;;
100;-104,6927825;104,6927825;;;;
101;-119,3636854;119,3636854;;;;
102;-95,19423095;95,19423095;;;;
103;-94,62885166;94,62885166;;;;
104;-86,69786231;86,69786231;;;;
105;-85,20861859;85,20861859;;;;
106;-88,384563;88,384563;;;;
107;-93,589221;93,589221;;;;
108;-100,381429;100,381429;;;;
109;-95,32526495;95,32526495;;;;
110;-86,32094862;86,32094862;;;;
111;-82,29075541;82,29075541;;;;
112;-79,66302159;79,66302159;;;;
113;-82,12373274;82,12373274;;;;
114;-97,96254944;97,96254944;;;;
115;-97,05193473;97,05193473;;;;
116;-97,62271394;97,62271394;;;;
117;-91,17550607;91,17550607;;;;
118;-90,79125286;90,79125286;;;;
119;-97,43574133;97,43574133;;;;
120;-97,36488518;97,36488518;;;;
121;-96,78208085;96,78208085;;;;
122;-96,70674861;96,70674861;;;;
123;-98,19355496;98,19355496;;;;
124;-97,90420637;97,90420637;;;;
125;-97,59987283;97,59987283;;;;
126;-97,33170339;97,33170339;;;;
127;-97,15367886;97,15367886;;;;
128;-96,58233912;96,58233912;;;;
129;-96,15837699;96,15837699;;;;
130;-94,25655655;94,25655655;;;;
131;-94,40906181;94,40906181;;;;
132;-93,59166738;93,59166738;;;;
133;-98,34748474;98,34748474;;;;
134;-99,87775793;99,87775793;;;;
135;-159,4438841;159,4438841;;;;
136;-140,8760252;140,8760252;;;;
137;-113,4622412;113,4622412;;;;
138;-96,01638378;96,01638378;;;;
139;-98,12042603;98,12042603;;;;
140;-88,96773655;88,96773655;;;;
141;-87,87514359;87,87514359;;;;
142;-86,6240458;86,6240458;;;;
143;-88,5422692;88,5422692;;;;
144;-93,76348572;93,76348572;;;;
145;-96,09148661;96,09148661;;;;
146;-93,78638414;93,78638414;;;;
147;-83,65235149;83,65235149;;;;
148;-83,8405334;83,8405334;;;;
149;-97,19106695;97,19106695;;;;
150;-93,01509946;93,01509946;;;;
151;-80,567143;80,567143;;;;
152;-92,68298646;92,68298646;;;;
153;-99,68421915;99,68421915;;;;
154;-116,4698076;116,4698076;;;;
155;-102,1969363;102,1969363;;;;
156;-89,12080292;89,12080292;;;;
157;-85,62495999;85,62495999;;;;
158;-79,96652488;79,96652488;;;;
159;-78,95590172;78,95590172;;;;
160;-79,49142394;79,49142394;;;;
161;-85,68172706;85,68172706;;;;
162;-96,78440586;96,78440586;;;;
163;-90,59656288;90,59656288;;;;
164;-77,7348333;77,7348333;;;;
165;-79,86384422;79,86384422;;;;
166;-77,63484371;77,63484371;;;;
167;-75,80731818;75,80731818;;;;
168;-81,16289307;81,16289307;;;;
169;-83,93202408;83,93202408;;;;
170;-94,67143601;94,67143601;;;;
171;-96,26928086;96,26928086;;;;
172;-110,6446381;110,6446381;;;;
173;-117,4192484;117,4192484;;;;
174;-79,42192306;79,42192306;;;;
175;-80,39257369;80,39257369;;;;
176;-80,69390437;80,69390437;;;;
177;-76,31870094;76,31870094;;;;
178;-76,03497269;76,03497269;;;;
179;-76,48233836;76,48233836;;;;
180;-80,2184415;80,2184415;;;;
181;-80,41931081;80,41931081;;;;
182;-80,06742393;80,06742393;;;;
183;-79,67222821;79,67222821;;;;
184;-91,51969935;91,51969935;;;;
185;-95,47774366;95,47774366;;;;
186;-80,51053198;80,51053198;;;;
187;-102,1066008;102,1066008;;;;
188;-105,2730482;105,2730482;;;;
189;-88,74342968;88,74342968;;;;
190;-106,2171128;106,2171128;;;;
191;-99,67815596;99,67815596;;;;
192;-78,06003025;78,06003025;;;;
193;-99,84822152;99,84822152;;;;
194;-98,42295373;98,42295373;;;;
195;-76,5280881;76,5280881;;;;
196;-83,04837129;83,04837129;;;;
197;-84,97672111;84,97672111;;;;
198;-82,37081889;82,37081889;;;;
199;-84,84443663;84,84443663;;;;
200;-94,56344242;94,56344242;;;;
201;-94,8993534;94,8993534;;;;
202;-82,91326233;82,91326233;;;;
203;-76,81452423;76,81452423;;;;
204;-76,03043935;76,03043935;;;;
205;-77,65934345;77,65934345;;;;
206;-76,84282804;76,84282804;;;;
207;-74,32761;74,32761;;;;
208;-73,57515998;73,57515998;;;;
209;-70,88598304;70,88598304;;;;
210;-76,19676325;76,19676325;;;;
