"","chi-sq","p-value"
"1",765.451421058265,1.75287743433096e-168
"2",764.660832858809,9.03670033516832e-167
"3",764.838645347961,1.82679611082159e-165
"4",770.017781335031,2.39530381940594e-165
"5",770.600657952686,2.64816936838622e-164
"6",770.681719231823,3.32280774846215e-163
"7",770.72533324959,3.84624984464686e-162
"8",770.235750810757,5.33886643893999e-161
"9",774.666934278793,6.02279130759012e-161
"10",773.913821834133,8.35004767997191e-160
