;chi-sq;p-value
1;233.687.142.790.777;9,36E-39
2;251.389.773.946.713;2,58E-41
3;274.909.684.767.239;2,67E-45
4;279.731.315.700.897;2,55E-45
5;279.340.611.202.435;2,76E-44
6;278.982.928.086.871;2,59E-43
7;278.645.168.371.873;2,18E-43
8;281.387.868.472.288;3,74E-42
9;282.604.475.681.734;1,27E-42
10;282.567.760.606.665;7,48E-41
