;V1;V2;;;;
1;-84,90503651;84,90503651;;;;
2;-83,15200747;83,15200747;;;Risk;Profit
3;-81,91924353;81,91924353;;Mean;-175,0679266;175,0679266
4;-83,30849164;83,30849164;;Varians;4195,769859;4195,769859
5;-85,76546667;85,76546667;;;;
6;-90,95093083;90,95093083;;;;
7;-86,60421248;86,60421248;;;;
8;-92,96300144;92,96300144;;;;
9;-230,9742274;230,9742274;;;;
10;-160,3597712;160,3597712;;;;
11;-149,2667424;149,2667424;;;;
12;-162,2140059;162,2140059;;;;
13;-120,6320798;120,6320798;;;;
14;-101,6278166;101,6278166;;;;
15;-93,57058723;93,57058723;;;;
16;-88,04185891;88,04185891;;;;
17;-87,30942274;87,30942274;;;;
18;-86,74804744;86,74804744;;;;
19;-119,8792063;119,8792063;;;;
20;-98,77355747;98,77355747;;;;
21;-92,21063887;92,21063887;;;;
22;-87,25321844;87,25321844;;;;
23;-113,9904922;113,9904922;;;;
24;-96,65365889;96,65365889;;;;
25;-111,6991936;111,6991936;;;;
26;-96,63141417;96,63141417;;;;
27;-122,6409799;122,6409799;;;;
28;-149,4971848;149,4971848;;;;
29;-118,9359626;118,9359626;;;;
30;-189,8508706;189,8508706;;;;
31;-217,4610108;217,4610108;;;;
32;-194,7086676;194,7086676;;;;
33;-151,2609484;151,2609484;;;;
34;-228,8216577;228,8216577;;;;
35;-408,7422101;408,7422101;;;;
36;-292,7196949;292,7196949;;;;
37;-229,8294007;229,8294007;;;;
38;-303,8791507;303,8791507;;;;
39;-212,2783128;212,2783128;;;;
40;-228,560958;228,560958;;;;
41;-411,5642297;411,5642297;;;;
42;-323,7919061;323,7919061;;;;
43;-415,0685524;415,0685524;;;;
44;-293,3618879;293,3618879;;;;
45;-342,4008618;342,4008618;;;;
46;-340,0956396;340,0956396;;;;
47;-682,3774376;682,3774376;;;;
48;-657,0347893;657,0347893;;;;
49;-440,5461363;440,5461363;;;;
50;-349,4789384;349,4789384;;;;
51;-249,0687852;249,0687852;;;;
52;-240,6827796;240,6827796;;;;
53;-293,023429;293,023429;;;;
54;-304,5761766;304,5761766;;;;
55;-257,273116;257,273116;;;;
56;-186,0398277;186,0398277;;;;
57;-175,8314856;175,8314856;;;;
58;-163,063038;163,063038;;;;
59;-139,723619;139,723619;;;;
60;-165,7054177;165,7054177;;;;
61;-244,1334943;244,1334943;;;;
62;-249,2882464;249,2882464;;;;
63;-203,251513;203,251513;;;;
64;-216,5690492;216,5690492;;;;
65;-184,4585561;184,4585561;;;;
66;-171,0584544;171,0584544;;;;
67;-223,3260803;223,3260803;;;;
68;-194,4828967;194,4828967;;;;
69;-193,5892032;193,5892032;;;;
70;-184,9776149;184,9776149;;;;
71;-291,1738664;291,1738664;;;;
72;-268,6891793;268,6891793;;;;
73;-212,6634844;212,6634844;;;;
74;-183,8293866;183,8293866;;;;
75;-171,8124933;171,8124933;;;;
76;-196,360465;196,360465;;;;
77;-178,495533;178,495533;;;;
78;-188,3109946;188,3109946;;;;
79;-224,5450275;224,5450275;;;;
80;-225,6736943;225,6736943;;;;
81;-186,7339441;186,7339441;;;;
82;-166,0117125;166,0117125;;;;
83;-164,9004862;164,9004862;;;;
84;-220,8740757;220,8740757;;;;
85;-214,8263023;214,8263023;;;;
86;-303,2872968;303,2872968;;;;
87;-279,7019499;279,7019499;;;;
88;-259,4124953;259,4124953;;;;
89;-388,6802146;388,6802146;;;;
90;-356,8577641;356,8577641;;;;
91;-259,2798187;259,2798187;;;;
92;-238,4874039;238,4874039;;;;
93;-219,1900782;219,1900782;;;;
94;-222,6281471;222,6281471;;;;
95;-230,0905061;230,0905061;;;;
96;-202,4306629;202,4306629;;;;
97;-225,9222725;225,9222725;;;;
98;-289,1536259;289,1536259;;;;
99;-255,127708;255,127708;;;;
100;-212,8944904;212,8944904;;;;
101;-177,8329626;177,8329626;;;;
102;-160,6577748;160,6577748;;;;
103;-180,0847504;180,0847504;;;;
104;-180,5324087;180,5324087;;;;
105;-158,6585438;158,6585438;;;;
106;-141,9447313;141,9447313;;;;
107;-124,7006847;124,7006847;;;;
108;-117,8020754;117,8020754;;;;
109;-145,3516004;145,3516004;;;;
110;-149,2089869;149,2089869;;;;
111;-126,8456057;126,8456057;;;;
112;-116,1855563;116,1855563;;;;
113;-128,6339596;128,6339596;;;;
114;-207,0425619;207,0425619;;;;
115;-191,9392285;191,9392285;;;;
116;-166,9866414;166,9866414;;;;
117;-137,1351332;137,1351332;;;;
118;-114,353369;114,353369;;;;
119;-142,3746754;142,3746754;;;;
120;-140,9379682;140,9379682;;;;
121;-135,5459139;135,5459139;;;;
122;-118,5246656;118,5246656;;;;
123;-108,8182258;108,8182258;;;;
124;-104,1516907;104,1516907;;;;
125;-104,4543278;104,4543278;;;;
126;-128,4258824;128,4258824;;;;
127;-116,8087787;116,8087787;;;;
128;-115,4495493;115,4495493;;;;
129;-109,8647541;109,8647541;;;;
130;-126,6101221;126,6101221;;;;
131;-144,6964155;144,6964155;;;;
132;-135,0734854;135,0734854;;;;
133;-113,5416824;113,5416824;;;;
134;-108,3144179;108,3144179;;;;
135;-120,8732053;120,8732053;;;;
136;-127,7864686;127,7864686;;;;
137;-121,0212236;121,0212236;;;;
138;-124,5202357;124,5202357;;;;
139;-115,0391712;115,0391712;;;;
140;-132,90771;132,90771;;;;
141;-124,1252264;124,1252264;;;;
142;-110,1972247;110,1972247;;;;
143;-103,7226321;103,7226321;;;;
144;-102,9244968;102,9244968;;;;
145;-109,3368962;109,3368962;;;;
146;-223,1651574;223,1651574;;;;
147;-197,171469;197,171469;;;;
148;-218,8585994;218,8585994;;;;
149;-237,0781596;237,0781596;;;;
150;-181,1463523;181,1463523;;;;
151;-184,5125986;184,5125986;;;;
152;-188,4513667;188,4513667;;;;
153;-195,7200505;195,7200505;;;;
154;-188,2921434;188,2921434;;;;
155;-178,9461085;178,9461085;;;;
156;-381,3936756;381,3936756;;;;
157;-326,5065072;326,5065072;;;;
158;-248,7502715;248,7502715;;;;
159;-234,403025;234,403025;;;;
160;-209,4642219;209,4642219;;;;
161;-261,9487825;261,9487825;;;;
162;-262,4859819;262,4859819;;;;
163;-215,6295077;215,6295077;;;;
164;-224,0280325;224,0280325;;;;
165;-198,0232619;198,0232619;;;;
166;-198,7095076;198,7095076;;;;
167;-236,4318847;236,4318847;;;;
168;-214,9007449;214,9007449;;;;
169;-185,3435293;185,3435293;;;;
170;-176,458731;176,458731;;;;
171;-200,172193;200,172193;;;;
172;-198,3824464;198,3824464;;;;
173;-176,115005;176,115005;;;;
174;-202,6096501;202,6096501;;;;
175;-186,2139731;186,2139731;;;;
176;-166,3004032;166,3004032;;;;
177;-154,2444312;154,2444312;;;;
178;-149,5801932;149,5801932;;;;
179;-152,0942429;152,0942429;;;;
180;-146,8929698;146,8929698;;;;
181;-159,8952455;159,8952455;;;;
182;-145,3992592;145,3992592;;;;
183;-160,9880137;160,9880137;;;;
184;-159,1484202;159,1484202;;;;
185;-134,6482553;134,6482553;;;;
186;-124,8543472;124,8543472;;;;
187;-115,3084202;115,3084202;;;;
188;-123,252857;123,252857;;;;
189;-122,1790737;122,1790737;;;;
190;-110,9386669;110,9386669;;;;
191;-114,6564549;114,6564549;;;;
192;-122,6945941;122,6945941;;;;
193;-268,373616;268,373616;;;;
194;-265,2440283;265,2440283;;;;
195;-188,3881039;188,3881039;;;;
196;-182,5126522;182,5126522;;;;
197;-162,627602;162,627602;;;;
198;-209,9569458;209,9569458;;;;
199;-216,2166023;216,2166023;;;;
200;-182,308097;182,308097;;;;
201;-171,6006625;171,6006625;;;;
202;-148,6789099;148,6789099;;;;
203;-159,2290975;159,2290975;;;;
204;-162,0819597;162,0819597;;;;
205;-145,0759728;145,0759728;;;;
206;-139,4047805;139,4047805;;;;
207;-170,8124213;170,8124213;;;;
208;-165,5721036;165,5721036;;;;
209;-156,4439672;156,4439672;;;;
210;-190,8181832;190,8181832;;;;
211;-210,0778916;210,0778916;;;;
212;-190,1244624;190,1244624;;;;
213;-155,3839846;155,3839846;;;;
214;-146,3448061;146,3448061;;;;
215;-174,3249387;174,3249387;;;;
216;-174,0165527;174,0165527;;;;
217;-168,4061111;168,4061111;;;;
218;-188,9339345;188,9339345;;;;
219;-178,2246226;178,2246226;;;;
220;-158,5272783;158,5272783;;;;
221;-179,9735777;179,9735777;;;;
222;-166,3319346;166,3319346;;;;
223;-179,1484736;179,1484736;;;;
224;-166,4798866;166,4798866;;;;
225;-160,021458;160,021458;;;;
226;-156,2571419;156,2571419;;;;
