;chi-sq;p-value
1;229.080.464.977.056;9,46E-38
2;229.118.340.427.881;1,77E-36
3;23.309.789.207.829;2,96E-36
4;234.278.871.797.708;1,58E-35
5;243.282.312.469.965;1,52E-36
6;24.570.269.878.919;3,40E-36
7;245.405.107.741.681;2,63E-35
8;259.789.828.346.357;1,45E-37
9;260.834.817.731.455;5,13E-37
10;26.084.880.645.632;2,83E-36
