;V1;V2;;;;
1;-177,4482643;177,4482643;;;;
2;-220,392827;220,392827;;;Risk;Profit
3;-217,5578194;217,5578194;;Mean;-21,05188324;21,05188324
4;-190,7010383;190,7010383;;Varians;3994,839843;3994,839843
5;-201,3094024;201,3094024;;;;
6;-226,3435818;226,3435818;;;;
7;-201,2946505;201,2946505;;;;
8;-203,282751;203,282751;;;;
9;-210,8768258;210,8768258;;;;
10;-196,4358701;196,4358701;;;;
11;-197,5861719;197,5861719;;;;
12;-197,9106611;197,9106611;;;;
13;-192,6750855;192,6750855;;;;
14;-210,8192185;210,8192185;;;;
15;-209,5403677;209,5403677;;;;
16;-183,8650059;183,8650059;;;;
17;-192,6164373;192,6164373;;;;
18;-188,9047786;188,9047786;;;;
19;-189,7953028;189,7953028;;;;
20;-171,1599535;171,1599535;;;;
21;-197,8202708;197,8202708;;;;
22;-204,4182038;204,4182038;;;;
23;-206,4921775;206,4921775;;;;
24;-198,7414976;198,7414976;;;;
25;-185,6500695;185,6500695;;;;
26;-201,6878969;201,6878969;;;;
27;-196,9016294;196,9016294;;;;
28;-196,4844992;196,4844992;;;;
29;-201,4736856;201,4736856;;;;
30;-189,3055081;189,3055081;;;;
31;-202,1687942;202,1687942;;;;
32;-182,8769489;182,8769489;;;;
33;-187,5777273;187,5777273;;;;
34;-192,0407974;192,0407974;;;;
35;-188,4085139;188,4085139;;;;
36;-189,5027914;189,5027914;;;;
37;-183,8906034;183,8906034;;;;
38;-183,1867081;183,1867081;;;;
39;-179,0642139;179,0642139;;;;
40;-177,3336811;177,3336811;;;;
41;-178,3457479;178,3457479;;;;
42;-199,3159131;199,3159131;;;;
43;-216,5080661;216,5080661;;;;
44;-220,3515639;220,3515639;;;;
45;-197,1070952;197,1070952;;;;
46;-202,4915544;202,4915544;;;;
47;-227,5030131;227,5030131;;;;
48;-263,5922926;263,5922926;;;;
49;-310,7706937;310,7706937;;;;
50;-309,332814;309,332814;;;;
51;-269,5022083;269,5022083;;;;
52;-198,318462;198,318462;;;;
53;-205,1570293;205,1570293;;;;
54;-229,878999;229,878999;;;;
55;-234,6133155;234,6133155;;;;
56;-254,9108153;254,9108153;;;;
57;-202,1429158;202,1429158;;;;
58;-243,9974252;243,9974252;;;;
59;-239,2333678;239,2333678;;;;
60;-185,1278862;185,1278862;;;;
61;-196,3346507;196,3346507;;;;
62;0;0;;;;
63;0;0;;;;
64;0;0;;;;
65;0;0;;;;
66;0;0;;;;
67;0;0;;;;
68;0;0;;;;
69;0;0;;;;
70;0;0;;;;
71;0;0;;;;
72;0;0;;;;
73;0;0;;;;
74;0;0;;;;
75;0;0;;;;
76;0;0;;;;
77;0;0;;;;
78;0;0;;;;
79;0;0;;;;
80;0;0;;;;
81;0;0;;;;
82;0;0;;;;
83;0;0;;;;
84;0;0;;;;
85;0;0;;;;
86;0;0;;;;
87;0;0;;;;
88;0;0;;;;
89;0;0;;;;
90;0;0;;;;
91;0;0;;;;
92;0;0;;;;
93;0;0;;;;
94;0;0;;;;
95;0;0;;;;
96;0;0;;;;
97;0;0;;;;
98;0;0;;;;
99;0;0;;;;
100;0;0;;;;
101;0;0;;;;
102;0;0;;;;
103;0;0;;;;
104;0;0;;;;
105;0;0;;;;
106;0;0;;;;
107;0;0;;;;
108;0;0;;;;
109;0;0;;;;
110;0;0;;;;
111;0;0;;;;
112;0;0;;;;
113;0;0;;;;
114;0;0;;;;
115;0;0;;;;
