"","pval1","pval2","pval3","pval4"
"62",4.82225197845252e-80,5.4372079500641e-94,5.50173916709309e-89,1.25011451192276e-79
"63",2.44184540554259e-80,4.99248283991259e-94,1.74913655390973e-89,1.16839014797598e-79
"64",4.96062700481383e-80,2.29831144063002e-94,1.62322092454248e-89,2.08171303917226e-79
"65",6.54986216835148e-80,2.31631275785368e-94,1.73520563368541e-89,2.13147054445164e-79
"66",1.79917246029098e-80,1.47808088853194e-94,1.2721790801565e-89,1.46057077556483e-79
"67",9.66371320499611e-81,1.04117935695777e-94,3.06099235302539e-89,9.71644078126571e-80
"68",4.75129813037625e-80,2.51420493472294e-94,2.76977322589574e-89,7.15822768864494e-80
"69",3.12185189154908e-80,4.19381256579942e-94,9.66936014096019e-89,2.07020919505799e-79
"70",5.5512644639763e-81,8.4043436514771e-95,1.50889005116946e-89,6.0828547359895e-80
"71",1.0409881374006e-79,4.33725279280313e-95,8.84502993432402e-90,9.74507533267359e-81
"72",1.05905004657251e-79,6.06567274713586e-95,1.22608389678409e-89,6.26805557458898e-81
"73",2.64604255633197e-79,6.9242021914406e-95,9.32011088918238e-90,1.15749514976584e-81
"74",4.3708493318314e-79,6.68287543189682e-95,1.02188389731972e-89,1.108485446901e-81
"75",3.7722168776066e-79,6.30802683393722e-95,1.09259835345814e-89,1.37218374074509e-81
"76",2.81227047704357e-79,5.10676618807944e-95,8.53968332632459e-90,6.83535207334391e-82
"77",2.49696795003006e-79,4.20352880969477e-95,8.45814423098465e-90,9.56855428809754e-82
"78",4.77912578562431e-79,4.56989939127428e-95,7.56220202446511e-90,7.84678068690432e-82
"79",1.14542406095262e-78,1.27116691300683e-94,1.65802046164783e-89,1.52078574783928e-81
"80",7.71129666256299e-79,4.0857299853037e-94,3.50053231336456e-89,2.75452297274456e-81
"81",2.29888189596983e-79,9.05406434232883e-95,1.29570990005659e-90,1.62095693890936e-82
"82",1.253074737288e-80,4.00689207332769e-96,6.81058097524797e-92,4.88483358195596e-84
"83",7.09801396387602e-81,4.39672139260836e-96,1.20733863786491e-91,8.13773506702184e-84
"84",2.35654482891642e-83,8.97711851489246e-103,7.56837185709163e-100,1.37701222192136e-86
"85",5.30049289232744e-83,4.8847010783133e-103,4.37457069169594e-100,1.7187735864582e-86
"86",7.74808395608158e-82,6.16586058246965e-102,4.2455256283316e-99,5.96889753265004e-86
"87",3.34873010748254e-82,7.53773743257262e-102,4.37528087252116e-99,7.14043382109732e-86
"88",5.29199958255364e-81,4.37642172778636e-100,3.20499185482519e-99,1.10271036921083e-87
"89",4.94820272603923e-81,2.13927548230238e-101,4.09720215646686e-100,2.24316298960078e-88
"90",5.94235044297606e-80,8.12355701465015e-101,2.82735989469824e-99,2.82938915893191e-88
"91",6.54942173256116e-81,2.88524420128339e-102,4.08928044197035e-100,1.11418356817921e-88
"92",4.68938564607579e-81,2.30137499746779e-102,5.96483100916165e-100,1.53147781052809e-88
"93",6.6614083326274e-80,1.40221914136932e-102,5.09024021488385e-100,3.6366831868285e-89
"94",3.84140195603133e-80,1.07590773265331e-102,3.10633212672356e-100,2.21551049129615e-89
"95",4.65869144397892e-80,9.46450453861431e-103,4.16063202516224e-100,3.24991568638297e-89
"96",3.71121450304863e-80,7.22473380915063e-103,8.98814606828911e-101,1.79064562629181e-89
"97",1.53636781246861e-81,1.3710174096878e-104,1.71687320038506e-101,1.23876690010721e-90
"98",1.64818491096138e-81,9.25416102617527e-105,8.08509697105297e-102,3.95796984133944e-91
"99",8.76169385391577e-82,3.33153065344089e-105,5.53105953080217e-102,5.02066499926756e-91
"100",8.94576485826236e-82,3.17382842093905e-104,1.30430943599075e-101,8.04735837976324e-90
"101",8.55095563854765e-82,3.2003543910887e-104,1.05556277595208e-101,3.60451647261258e-90
"102",3.5301590393369e-81,7.12280016680962e-104,2.47044502039818e-101,1.15106334336642e-90
